iter	MultiClass
135	0.8435557553
136	0.8409448364
137	0.8400963309
138	0.8376276802
139	0.8359063298
140	0.8336345147
141	0.831933421
142	0.8294256701
143	0.8285597344
144	0.8263113166
145	0.8237910034
146	0.8224117404
147	0.8207105682
148	0.8191307008
149	0.8178700731
150	0.8169937735
151	0.814980899
152	0.8129827852
153	0.8114458652
154	0.8103664488
155	0.8084570564
156	0.807878248
157	0.8063896144
158	0.8032491941
159	0.8008117136
160	0.7989308219
161	0.7976903724
162	0.7954732033
163	0.7933803227
164	0.7913994821
165	0.7888716314
166	0.7869941158
167	0.7854069466
168	0.7831695993
169	0.782180082
170	0.780692469
171	0.7791367056
172	0.777937005
173	0.7763500714
174	0.7749549484
175	0.7734751869
176	0.771585109
177	0.7690812053
178	0.7677844609
179	0.766065466
180	0.7648319257
181	0.764025347
182	0.7620357913
183	0.760709604
184	0.7593613542
185	0.7581079498
186	0.7569199479
187	0.7555724048
188	0.7534408164
189	0.750883837
190	0.7481319061
191	0.7469490862
192	0.7455903155
193	0.7447751786
194	0.7440590485
195	0.7424536639
196	0.7418995876
197	0.7401560961
198	0.7378341103
199	0.7355747005
200	0.7341548455
201	0.7322311634
202	0.7310488931
203	0.729728987
204	0.7284374246
205	0.7277108521
206	0.7254424131
207	0.7236558172
208	0.7221466913
209	0.7207812469
210	0.7205935189
211	0.7190145151
212	0.7166411024
213	0.7155532849
214	0.7138300502
215	0.7129488042
216	0.7119322778
217	0.7098758279
218	0.7088185525
219	0.7080265774
220	0.7059264734
221	0.7039739765
222	0.7030199477
223	0.7017228108
224	0.6996547406
225	0.6986365655
226	0.6972280951
227	0.6953483811
228	0.6938252011
229	0.693138828
230	0.6914433873
231	0.6902769769
232	0.689066677
233	0.6881905344
234	0.6867212154
235	0.6856420345
236	0.6846619388
237	0.6827832455
238	0.6818212082
239	0.6804939217
240	0.6801218418
241	0.6788305935
242	0.6775397377
243	0.6760160082
244	0.675006077
245	0.6736824807
246	0.6724039517
247	0.6710792562
248	0.6698476003
249	0.6689317295
250	0.6668280923
251	0.6661129829
252	0.6645374338
253	0.6635224777
254	0.6613605829
255	0.6601368569
256	0.6577751821
257	0.6560270975
258	0.6538272017
259	0.6524714537
260	0.6506594192
261	0.6498810663
262	0.6482603714
263	0.647539923
264	0.6462474184
265	0.6443647601
266	0.6430479946
267	0.6427949033
268	0.6408963066
269	0.639204831
270	0.6380198519
271	0.6373992346
272	0.6364825393
273	0.6358499093
274	0.6353549936
275	0.6336542925
276	0.6325428814
277	0.6316615569
278	0.63022965
279	0.6294438383
280	0.6285442592
281	0.6268058319
282	0.6256038938
283	0.6246567742
284	0.6242665182
285	0.6227932341
286	0.6218553792
287	0.620306211
288	0.6190693732
289	0.6186117518
290	0.617270686
291	0.6162656228
292	0.6153305552
293	0.6146984355
294	0.613705856
295	0.6125470223
296	0.6113251415
297	0.6108235913
298	0.6096494472
299	0.6091757696
300	0.6086276211
301	0.6075610418
302	0.6064403661
303	0.6058953189
304	0.6051864906
305	0.6042328936
306	0.603390473
307	0.6027494027
308	0.6015391027
309	0.6009198986
310	0.5990171799
311	0.5983379516
312	0.5972269723
313	0.5964277347
314	0.5956095358
315	0.5946712883
316	0.593786784
317	0.593134015
318	0.592732453
319	0.5918128527
320	0.5899400872
321	0.5891101112
322	0.5884843904
323	0.5876744748
324	0.5872093945
325	0.5862043706
326	0.5854728516
327	0.585022061
328	0.5832054726
329	0.5825290315
330	0.580789348
331	0.5798165934
332	0.5782960044
333	0.5777954357
334	0.5766258062
335	0.5756246687
336	0.5749501512
337	0.5740047589
338	0.572015164
339	0.5710174418
340	0.5701429873
341	0.5693516404
342	0.5679298618
343	0.5669129821
344	0.5660067686
345	0.5652343043
346	0.5647244316
347	0.5636307648
348	0.5634055855
349	0.5624042124
350	0.5620819107
351	0.5612203718
352	0.5600284442
353	0.5595147635
354	0.5576534219
355	0.5571176787
356	0.5560976192
357	0.5549823609
358	0.5545533581
359	0.5534441455
360	0.5521702488
361	0.5511931367
362	0.5497579714
363	0.5489652505
364	0.548171234
365	0.5473537417
366	0.5462715773
367	0.5451784602
368	0.5440176635
369	0.5429831574
370	0.5423593602
371	0.5420420442
372	0.541245319
373	0.5401726155
374	0.5391111789
375	0.5381096489
376	0.5376971733
377	0.5370862918
378	0.5360816996
379	0.5349300499
380	0.5336606286
381	0.5331175443
382	0.5325958944
383	0.531216121
384	0.5307780105
385	0.5304680748
386	0.5299884694
387	0.529231394
388	0.5284964596
389	0.527922951
390	0.5273104206
391	0.5265859287
392	0.5257704386
393	0.5249519649
394	0.524373078
395	0.5237554442
396	0.5227355025
397	0.5217625124
398	0.521392042
399	0.5207512465
400	0.5200832457
401	0.5191471574
402	0.5183390869
403	0.5176802723
404	0.5164536806
405	0.5157569042
406	0.5146874592
407	0.5136859683
408	0.5134724483
409	0.5127404583
410	0.5115682378
411	0.5110759131
412	0.510168247
413	0.5096301091
414	0.5086965332
415	0.5080160094
416	0.50751442
417	0.5062976426
418	0.5054765779
419	0.5051833265
420	0.5046949275
421	0.5031074049
422	0.5021293899
423	0.5007496558
424	0.4999758961
425	0.4992324429
426	0.4970979496
427	0.4960465628
428	0.4953194407
429	0.4946230177
430	0.4937465218
431	0.492734353
432	0.4922796759
433	0.4914452638
434	0.4909426537
435	0.4902332758
436	0.4891499729
437	0.4880319667
438	0.4871445966
439	0.4864294871
440	0.4854961076
441	0.4844965403
442	0.484071895
443	0.4834465668
444	0.4827827273
445	0.4819203248
446	0.4814528499
447	0.480487829
448	0.4800139552
449	0.4789617047
450	0.4778019288
451	0.4770861127
452	0.4765842878
453	0.4760041446
454	0.4756477676
455	0.4751865346
456	0.4749006635
457	0.4742078129
458	0.4734397455
459	0.472274081
460	0.4717209076
461	0.4709593961
462	0.4698341665
463	0.4694172549
464	0.4683397621
465	0.4679601841
466	0.4671440658
467	0.4663600992
468	0.4655962323
469	0.4646170003
470	0.4640432954
471	0.4635155606
472	0.4627907939
473	0.4622232916
474	0.461612096
475	0.4605260059
476	0.4598209463
477	0.4589459422
478	0.4575291885
479	0.4563292525
480	0.4555883903
481	0.4545848973
482	0.4541132219
483	0.4538585211
484	0.4531076876
485	0.4525563985
486	0.4522647959
487	0.4516724045
488	0.4510750274
489	0.4505834486
490	0.4499024144
491	0.449509646
492	0.4490828023
493	0.4481067501
494	0.4475290409
495	0.4470667479
496	0.4465620964
497	0.4459336669
498	0.4447848438
499	0.4444766746
500	0.4443540351
501	0.4433390005
502	0.4420136376
503	0.4415310487
504	0.4412785855
505	0.4406048532
506	0.4402235086
507	0.4394457446
508	0.4383594975
509	0.4372747028
510	0.4369616658
511	0.4364643554
512	0.4356501607
513	0.4353843109
514	0.4344373091
515	0.4337473242
516	0.4333180858
517	0.4329119307
518	0.4322807924
519	0.4321746016
520	0.4313508675
521	0.4300410897
522	0.4289884075
523	0.4284800266
524	0.4279904498
525	0.4274622047
526	0.4270975444
527	0.4262611302
528	0.4256401596
529	0.425245232
530	0.4242248584
531	0.4237258992
532	0.4228886606
533	0.422032971
534	0.421438656
535	0.4211807754
536	0.42018957
537	0.4192641989
538	0.4187764672
539	0.4181469385
540	0.4176948917
541	0.4163914736
542	0.4156864925
543	0.4153143341
544	0.4147461252
545	0.4142889749
546	0.4136888498
547	0.413176975
548	0.4127080083
549	0.411950344
550	0.4113240737
551	0.4107473066
552	0.4101839263
553	0.4094087534
554	0.4086716206
555	0.4079969068
556	0.4073431172
557	0.4067292128
558	0.4062137656
559	0.4059119954
560	0.4055454115
561	0.405030082
562	0.4042920071
563	0.4033946264
564	0.4029328045
565	0.4025394472
566	0.402289575
567	0.4017815867
568	0.4008606516
569	0.4005150311
570	0.4003212968
571	0.3998003535
572	0.399410176
573	0.3989714374
574	0.3983616551
575	0.3976667238
576	0.3963238915
577	0.3958002788
578	0.3950780245
579	0.3945421242
580	0.3940892138
581	0.3935661899
582	0.3931075086
583	0.3925728645
584	0.391979845
585	0.3916656303
586	0.3911940726
587	0.3907619292
588	0.3903646854
589	0.3889067117
590	0.3885354562
591	0.3879471868
592	0.387378389
593	0.3865895938
594	0.3861417867
595	0.3853997075
596	0.3848944672
597	0.3842271338
598	0.3831209047
599	0.3825639626
600	0.3820290437
601	0.3814969122
602	0.3811329585
603	0.3805963124
604	0.3799850775
605	0.3796026338
606	0.379111526
607	0.3787288074
608	0.3782948974
609	0.37791634
610	0.3772667116
611	0.3764759143
612	0.3762126947
613	0.3756796602
614	0.3753082869
615	0.3749478272
616	0.3738725328
617	0.3734694789
618	0.3727915853
619	0.372369688
620	0.3712967883
621	0.3708387351
622	0.3703874342
623	0.3698722225
624	0.3690802867
625	0.3686571331
626	0.367588905
627	0.3672388092
628	0.3669224353
629	0.3667421661
630	0.3664908807
631	0.3659747661
632	0.3654504075
633	0.3648059217
634	0.3642946358
635	0.3637035006
636	0.3630528515
637	0.3626815568
638	0.3620700864
639	0.3612993102
640	0.3604791485
641	0.3594357309
642	0.3589522783
643	0.3583886625
644	0.3578743537
645	0.3573115622
646	0.3563606347
647	0.355539727
648	0.3552133818
649	0.3547890506
650	0.3543826991
651	0.3538604211
652	0.3536257022
653	0.3533677431
654	0.3524422935
655	0.3521880245
656	0.3519414106
657	0.3512562545
658	0.3507167425
659	0.3500327248
660	0.3498214425
661	0.3496017984
662	0.349415994
663	0.3486402321
664	0.3480299394
665	0.347645258
666	0.3473408968
667	0.346818187
668	0.3462977933
669	0.3457956543
670	0.3453648063
671	0.3447322155
672	0.3441011165
673	0.3437126271
674	0.3433973917
675	0.3428788431
676	0.3425625085
677	0.3420312406
678	0.341711098
679	0.3412833906
680	0.340416395
681	0.3401076763
682	0.3397025811
683	0.3392687496
684	0.338506924
685	0.3383110698
686	0.3379251713
687	0.3371356302
688	0.3368306017
689	0.3360878944
690	0.3357542473
691	0.3352550526
692	0.3350962571
693	0.334655006
694	0.3341980128
695	0.3338540803
696	0.3335151335
697	0.3332825345
698	0.3325907438
699	0.3319804904
700	0.3313242668
701	0.3307318754
702	0.3303125691
703	0.3299475948
704	0.3296870839
705	0.3289646922
706	0.3286506934
707	0.327874166
708	0.3275438754
709	0.3271726003
710	0.3266985302
711	0.3264298342
712	0.3261416862
713	0.3258769748
714	0.3254627523
715	0.3248385429
716	0.3242997965
717	0.3236817898
718	0.32316542
719	0.3227525715
720	0.3219286803
721	0.3214510181
722	0.3209419895
723	0.3203278299
724	0.3195313207
725	0.3190864383
726	0.3187411514
727	0.3183707988
728	0.3180995707
729	0.3176960851
730	0.3170281039
731	0.3167448631
732	0.3166276607
733	0.3159238377
734	0.3151633273
735	0.3144076063
736	0.3139444889
737	0.313182153
738	0.3127645347
739	0.3123513133
740	0.3120113262
741	0.3112627107
742	0.3110531949
743	0.3108456617
744	0.3105058512
745	0.3099870475
746	0.3098430127
747	0.3095298776
748	0.3091350874
749	0.3083328465
750	0.3080354535
751	0.3078141802
752	0.3073030513
753	0.3069289692
754	0.306588354
755	0.3060464278
756	0.3058212091
757	0.305372931
758	0.305058304
759	0.3045947156
760	0.3041293802
761	0.3037477215
762	0.3035247013
763	0.3029333306
764	0.3026401381
765	0.3020193833
766	0.3015539498
767	0.3010421142
768	0.3008852424
769	0.3006562158
770	0.3001272248
771	0.2998184275
772	0.2995270605
773	0.2991405732
774	0.2986133684
775	0.2981203174
776	0.2977081755
777	0.2971787723
778	0.2970046666
779	0.2967756204
780	0.2962721858
781	0.2956348646
782	0.2955695798
783	0.2954234644
784	0.2948463441
785	0.2945829871
786	0.2944494144
787	0.2943250279
788	0.2936019296
789	0.2932651224
790	0.2929425262
791	0.2926399119
792	0.2922469276
793	0.2920202957
794	0.2918304085
795	0.291555608
796	0.2910692307
797	0.2907827708
798	0.2904060586
799	0.2901373626
800	0.2896142602
801	0.2890286995
802	0.2884679102
803	0.2881978206
804	0.2879615118
805	0.2878129821
806	0.2874309897
807	0.2871737372
808	0.2867422808
809	0.2861889307
810	0.2859522293
811	0.2854471067
812	0.2849516414
813	0.2847823839
814	0.2844949033
815	0.2839060647
816	0.2836636318
817	0.2833154006
818	0.2826118328
819	0.2824200024
820	0.2819119159
821	0.2814805184
822	0.2810088037
823	0.2806013923
824	0.2804068924
825	0.2802856269
826	0.2796385109
827	0.2791797511
828	0.2787846861
829	0.2782768351
830	0.2779408719
831	0.2777604653
832	0.2772021492
833	0.2768026285
834	0.2765068254
835	0.2761587317
836	0.2759655666
837	0.2753585519
838	0.275109563
839	0.2745182512
840	0.2743473056
841	0.2741300954
842	0.2740142278
843	0.2736745351
844	0.2731738093
845	0.2727685374
846	0.2722311258
847	0.2718849556
848	0.2716248962
849	0.2714052521
850	0.2712015464
851	0.2706633496
852	0.2704781733
853	0.2702572337
854	0.2701108435
855	0.2698515889
856	0.2694975281
857	0.2692377434
858	0.2688919659
859	0.2686871217
860	0.2685184138
861	0.2680264817
862	0.2677397862
863	0.2673930272
864	0.2671788595
865	0.2668522787
866	0.2664093788
867	0.2659586863
868	0.2658269587
869	0.2656754455
870	0.2653271162
871	0.2652366873
872	0.2650973045
873	0.2647829131
874	0.2643999786
875	0.2640690795
876	0.2638230742
877	0.2634723109
878	0.263297106
879	0.2630873939
880	0.2627272875
881	0.2624271268
882	0.2620448989
883	0.2619120722
884	0.2616971585
885	0.2612522761
886	0.2610395217
887	0.2608151863
888	0.260632071
889	0.2603601363
890	0.2600733819
891	0.2597310787
892	0.2595328101
893	0.2590765038
894	0.2587820747
895	0.2585407214
896	0.2583786479
897	0.2581923136
898	0.2577384805
899	0.2575264327
900	0.2570291615
901	0.256665993
902	0.2559292332
903	0.2556478767
904	0.2553825765
905	0.2550021937
906	0.2545785691
907	0.254299568
908	0.2541317042
909	0.2540494407
910	0.2536513922
911	0.2532388773
912	0.2529955022
913	0.2528749237
914	0.2525292639
915	0.2522499684
916	0.2518916875
917	0.2516757335
918	0.2512205657
919	0.251083774
920	0.2507503232
921	0.2503815801
922	0.2500890354
923	0.2499955836
924	0.2497796885
925	0.2496427005
926	0.2494996079
927	0.2493186125
928	0.2490455589
929	0.2483913963
930	0.2478742021
931	0.2473927124
932	0.2470586727
933	0.2467308161
934	0.2463742428
935	0.2461191494
936	0.245793609
937	0.2456144783
938	0.24506843
939	0.244816438
940	0.2444428467
941	0.2440978346
942	0.243806605
943	0.2436039985
944	0.2433668849
945	0.2429704067
946	0.242515494
947	0.2420886503
948	0.2418225453
949	0.2417651905
950	0.2415810545
951	0.2413676916
952	0.2412152165
953	0.241138665
954	0.2407757124
955	0.2405839605
956	0.2402793441
957	0.2401802
958	0.2397427765
959	0.2395497292
960	0.2394075788
961	0.2390916367
962	0.238929524
963	0.2385628028
964	0.2384255203
965	0.2381965133
966	0.2379766729
967	0.2378554859
968	0.2376507595
969	0.2374242061
970	0.2370813925
971	0.2365322233
972	0.2362843925
973	0.2359507846
974	0.2355694008
975	0.2354011444
976	0.2349650752
977	0.2346073242
978	0.2344239734
979	0.2342463737
980	0.2340116548
981	0.2338739798
982	0.2335645544
983	0.2330365252
984	0.2326820129
985	0.232527791
986	0.2324173408
987	0.2318509769
988	0.2313385329
989	0.2312140875
990	0.2308780654
991	0.2305655779
992	0.230507281
993	0.2301589909
994	0.2297779604
995	0.2295530362
996	0.2293855453
997	0.2290173126
998	0.2286933424
999	0.2284486718
